Revere Beach (885) inbound platform  to Shirley Avenue/Beach Street,885
Beachmont (886) inbound platform to Winthrop Ave.,886
Beachmont (887) outbound platform to Winthrop Ave.,887
Wood Island (889) inbound (westbound) platform to Bennington Street,889
Wood Island (890) mezzanine to the westbound platform,890
Downtown Crossing (891) IB Orange Line platform to street level of Franklin & Washington Sts,891
Downtown Crossing (892) OB Orange Line platform to street level of Winter & Washington St,892
Aquarium (913) outbound platform to mezzanine/paid lobby, State St side,913
Aquarium (914) inbound platform to mezzanine area/paid lobby, State side,914
Aquarium (915) mezzanine/State St. to unpaid west lobby, State St side,915
Aquarium (923) inbound platform to lobby, Atlantic side,923
Aquarium (924) outbound platform to lobby, Atlantic side,924
Aquarium (925) Atlantic Ave to unpaid east lobby, Atlantic side,925
Airport (931) outbound platform to mezzanine,931
Airport (932) inbound platform to mezzanine,932
Porter Square (819) lobby to Commuter Rail platform,819
Forest Hills (841) lobby to Commuter Rail platform,841
Ruggles (849) lobby to Commuter Rail platform,849
Back Bay (854) lobby to Commuter Rail platform to track 2,854
Back Bay (855) lobby to Commuter Rail platform to track 1 and 3,855
Back Bay (856) lobby to Commuter Rail platform to track 5 and 7,856
Quincy Center (896) Commuter Rail platform to street level on Burgin Parkway Side,896
Lynn Station (928) plaza to Commuter Rail,928
Lynn Station (929) plaza to garage,929
Lynn Station (930) plaza to parking garage,930
Malden Center (944) unpaid lobby to Commuter Rail,944
Park Street (804) lobby to Tremont Street,804
Park Street (812)  underpass to northbound Green Line track,812
Park Street (823) OB Red Line underpass to Green Line OB,823
North Station (894) mezzanine to Causeway Street,894
North Station (895) westbound platform to mezzanine,895
Haymarket (908) Green Line lobby to Haymarket Station busway,908
Prudential (917) mezzanine to Huntington Avenue,917
Prudential (920) outbound platform to lobby,920
Prudential (921) inbound platform to lobby,921
Kenmore (948) Street level to unpaid lobby (Commonwealth Ave & Beacon St.),948
Oak Grove (800) lobby to street level parking area,800
Oak Grove (801) lobby to platform,801
State Street (802) NB Orange Line platform to SB Orange Line and EB Blue Line Platform,802
State Street (803) SB Orange Line platform to street level,803
Sullivan Square (840) inbound platform to mezzanine,840
Forest Hills (842) lobby to Orange Line platform,842
Forest Hills (843) lobby to lower garage/busway,843
Green Street (844) lobby to platform,844
Stony Brook (845) lobby to platform,845
Jackson Square (846) lobby to platform,846
Roxbury Crossing (847) lobby to platform,847
Ruggles (848) lobby to Tremont Street busway,848
Ruggles (850) lobby to Orange Line platform,850
Ruggles (851) lobby to Northeastern University,851
Mass. Ave. (852) lobby to platform,852
Back Bay (853) lobby to Orange Line platform,853
New England Medical Center (857) lobby to Washington Street,857
New England Medical Center (858) lobby to IB platform on Washington St. side,858
New England Medical Center (859) lobby to OB platform on Washington St. side,859
Wellington (864) inbound platform to lobby,864
Wellington (865) outbound platform to Main Street,865
Sullivan Square (881) outbound platform to mezzaninwe,881
Haymarket (903) Orange Line platform to mezzanine,903
Haymarket (904) platform to Congress Street,904
Haymarket (905) Orange Line inbound to Orange Line underpass,905
Haymarket (906) Green Line to Orange Line underpass,906
Haymarket (907) Orange Line underpass to the outbound platform,907
North Station (909) lobby to Canal Street,909
North Station (910) inbound platform to paid lobby,910
North Station (911) outbound platform to lobby,911
North Station (912) unpaid lobby to street level (Causeway Street),912
Chinatown (922) southbound platform to Washington and Essex Streets,922
Community College (933) platform to Rutherford Avenue,933
North Station (941) mezzanine to Causeway Street on the Commuter Rail side,941
Malden Center (945) lobby to Commercial Street,945
Quincy Adams (805) platform to Burgin Parkway,805
Quincy Adams (806) 1 of 2, lobby to parking garage,806
Quincy Adams (807) 1 of 2, lobby to parking garage,807
Park Street (808) lobby to Red Line center platform,808
Quincy Center (810) lobby to center platform,810
Braintree (811) lobby to platform,811
Alewife (813) lobby to platform,813
Alewife (814) 1 of 2, lobby to parking garage,814
Alewife (815) 1 of 2, lobby to parking garage,815
Davis (816) lobby to platform,816
Davis (817) lobby to College Ave,817
Porter Square (818) lobby to Mass. Ave.,818
Porter Square (820) lobby to Red Line platform,820
Harvard Square (821) lobby to Mass. Ave,821
JFK/UMass (830) lobby to platform on Braintree side,830
JFK/UMASS (831) lobby to platform on Ashmont side,831
Central Square (860) outbound platform to Mass. Ave.,860
Central Square (861) inbound platform to Mass. Ave,861
Kendall Square (863) inbound platform to Main Street,863
Kendall Square (866) outbound platform to Main Street,866
Broadway (867) lobby to platform,867
Broadway (868) lobby to Broadway and Dorchester Avenue,868
Downtown Crossing (869) NB Red Line platform to Chauncy St. lobby, Summer Street,869
Downtown Crossing (870) SB Red Line platform to Chauncy St. lobby, Summer Street,870
Quincy Center (871) lobby to parking garage,871
Andrew (872) lobby to street level,872
South Station (873) concourse to South Station lower,873
South Station (874) southbound platform to lobby,874
South Station (875) northbound platform to lobby,875
South Station (888) concourse to outbound platform,888
South Station (893) concourse to street,893
North Quincy (899) platform to collector's area, northbound end,899
North Quincy (900) platform to lobby,900
South Station (901) southbound platform to Silver Line lobby,901
South Station (919) southbound platform to Silver Line lobby,919
South Station (926) mezzanine to Atlantic Ave and Summer Street,926
South Station (927) northbound platform to Silver Line,927
Savin Hill (946) lobby to platform,946
Savin Hill (947) Street to unpaid lobby,947
World Trade Center (934) lobby to viaduct,934
World Trade Center (935) inbound platform to lobby,935
World Trade Center (936) outbound platform to lobby,936
Courthouse Station (937) inbound platform to lobby,937
Courthouse Station (938) outbound platform to lobby,938
Courthouse Station (939) lobby to Seaport Boulevard, eastside,939
